Date,Open,High,Low,Close,Adj Close,Volume,H-L,O-C,MA 7,MA 21,MA 200
2023-02-15,18727.2734375,19136.36328125,18409.091796875,18909.091796875,18909.091796875,22083819,727.271484375,-181.818359375,18610.389787946428,18971.86170014881,19547.517485351564
2023-02-16,19045.455078125,19454.544921875,18727.2734375,19363.63671875,19363.63671875,26306389,727.271484375,-318.181640625,18811.688616071428,19019.48074776786,19493.636372070312
2023-02-17,19363.63671875,19409.091796875,19090.908203125,19090.908203125,19090.908203125,15063069,318.18359375,272.728515625,18831.169084821428,19060.60621279762,19437.692309570313
2023-02-20,19090.908203125,19909.091796875,19090.908203125,19909.091796875,19909.091796875,28315869,818.18359375,-818.18359375,19000.00027901786,19145.02185639881,19390.384624023438
2023-02-21,20045.455078125,20272.7265625,19636.36328125,19636.36328125,19636.36328125,23582789,636.36328125,409.091796875,19142.857421875,19203.463355654763,19341.538471679687
2023-02-22,19454.544921875,20090.908203125,19272.7265625,19272.7265625,19272.7265625,37727469,818.181640625,181.818359375,19272.727399553572,19183.98279389881,19291.748256835937
2023-02-23,19227.2734375,19545.455078125,18545.455078125,19545.455078125,19545.455078125,36946689,1000.0,-318.181640625,19389.610491071428,19175.324776785714,19249.79021972656
2023-02-24,19545.455078125,19545.455078125,18772.7265625,18909.091796875,18909.091796875,16675559,772.728515625,636.36328125,19389.610491071428,19160.173270089286,19200.62938964844
2023-02-27,18545.455078125,18681.818359375,18136.36328125,18272.7265625,18272.7265625,34524709,545.455078125,272.728515625,19233.766183035714,19099.56715029762,19149.86015136719
2023-02-28,18590.908203125,18636.36328125,18090.908203125,18181.818359375,18181.818359375,17962779,545.455078125,409.08984375,19103.89620535714,19023.809616815477,19107.02798339844
2023-03-01,18181.818359375,19000.0,18000.0,19000.0,19000.0,21400939,1000.0,-818.181640625,18974.025948660714,18971.86160714286,19076.503510742186
2023-03-02,19090.908203125,19181.818359375,18727.2734375,18727.2734375,18727.2734375,10596629,454.544921875,363.634765625,18844.15597098214,18950.216610863095,19043.21680175781
2023-03-03,18909.091796875,19181.818359375,18500.0,18500.0,18500.0,23773749,681.818359375,409.091796875,18733.766462053572,18909.09105282738,19002.15036621094
2023-03-06,18772.7265625,18954.544921875,18545.455078125,18545.455078125,18545.455078125,12913779,409.08984375,227.271484375,18590.909319196428,18878.788039434523,18961.31120605469
2023-03-07,18727.2734375,19409.091796875,18681.818359375,19181.818359375,19181.818359375,32539869,727.2734375,-454.544921875,18629.870256696428,18876.623511904763,18924.70281738281
2023-03-08,19000.0,19272.7265625,18909.091796875,19272.7265625,19272.7265625,17831439,363.634765625,-272.7265625,18772.727399553572,18939.394066220237,18889.423090820314
2023-03-09,19272.7265625,19590.908203125,19272.7265625,19272.7265625,19272.7265625,25927659,318.181640625,0.0,18928.571428571428,18954.545572916668,18857.29021972656
2023-03-10,19227.2734375,19500.0,19090.908203125,19363.63671875,19363.63671875,24759129,409.091796875,-136.36328125,18980.51953125,18984.848586309523,18832.08043457031
2023-03-13,19136.36328125,19454.544921875,19000.0,19181.818359375,19181.818359375,23176889,454.544921875,-45.455078125,19045.454520089286,19010.82263764881,18807.53498535156
2023-03-14,19136.36328125,19181.818359375,18363.63671875,18454.544921875,18454.544921875,34007269,818.181640625,681.818359375,19038.9609375,19015.15159970238,18777.430083007814
2023-03-15,18909.091796875,19363.63671875,18727.2734375,19363.63671875,19363.63671875,30202149,636.36328125,-454.544921875,19155.84402901786,19045.454613095237,18750.297221679688
